Rank,Team,ADJ EPA Per Play
359,CLE ( 2002 ),0.019
360,LA ( 2023 ),0.019
361,JAX ( 2023 ),0.019
362,CIN ( 2024 ),0.019
363,DAL ( 1999 ),0.018
364,MIA ( 2003 ),0.018
365,DEN ( 2006 ),0.018
366,WAS ( 2016 ),0.018
367,TEN ( 2002 ),0.017
368,PHI ( 2021 ),0.017
369,DEN ( 2021 ),0.017
370,BAL ( 2025 ),0.017
371,NE ( 2000 ),0.016
372,MIN ( 2000 ),0.016
373,HOU ( 2007 ),0.016
374,TB ( 2007 ),0.016
375,DAL ( 2008 ),0.016
376,ARI ( 2009 ),0.016
377,CIN ( 2011 ),0.016
378,MIA ( 2013 ),0.016
379,CAR ( 2018 ),0.016
380,LAC ( 2019 ),0.015
381,JAX ( 2000 ),0.014
382,CIN ( 2009 ),0.014
383,DAL ( 2011 ),0.014
384,DET ( 2017 ),0.014
385,KC ( 2006 ),0.013
386,LA ( 2006 ),0.013
387,TEN ( 2007 ),0.013
388,CIN ( 2014 ),0.013
389,CIN ( 2023 ),0.013
390,KC ( 2025 ),0.013
391,DET ( 1999 ),0.012
392,TB ( 2010 ),0.012
393,TEN ( 2010 ),0.012
394,HOU ( 2023 ),0.012
395,HOU ( 2024 ),0.012
396,NYJ ( 1999 ),0.011
397,NO ( 2007 ),0.01
398,DET ( 2010 ),0.01
399,DET ( 2022 ),0.009
400,CIN ( 2016 ),0.008
401,LV ( 2016 ),0.008
402,TEN ( 2018 ),0.008
403,CHI ( 2019 ),0.008
404,ATL ( 2004 ),0.007
405,MIN ( 2004 ),0.007
406,TB ( 2005 ),0.007
407,CHI ( 2007 ),0.007
408,NO ( 2014 ),0.007
409,CAR ( 1999 ),0.006
410,CAR ( 2000 ),0.006
411,MIA ( 2011 ),0.006
412,PIT ( 2025 ),0.006
413,CHI ( 2008 ),0.005
414,MIN ( 2021 ),0.005
415,TB ( 2012 ),0.004
416,HOU ( 2015 ),0.004
417,LAC ( 2021 ),0.004
418,MIN ( 2023 ),0.004
419,LA ( 2024 ),0.004
420,CAR ( 2004 ),0.003
421,GB ( 2004 ),0.003
422,IND ( 2016 ),0.003
423,PHI ( 2019 ),0.003
424,DEN ( 2001 ),0.002
425,NYJ ( 2006 ),0.002
426,TB ( 2016 ),0.002
427,LV ( 2023 ),0.002
428,PIT ( 1999 ),0.001
429,DEN ( 2009 ),0.001
430,NO ( 2016 ),0.001
431,DET ( 2000 ),-0.0
432,MIA ( 2005 ),-0.0
433,LA ( 2010 ),0.0
434,CHI ( 2020 ),0.0
435,NYG ( 2001 ),-0.001
436,JAX ( 2002 ),-0.001
437,DAL ( 2003 ),-0.001
438,ATL ( 2005 ),-0.001
439,MIA ( 1999 ),-0.002
440,KC ( 2001 ),-0.002
441,NYG ( 2006 ),-0.002
442,MIA ( 2014 ),-0.002
443,CAR ( 2016 ),-0.002
444,BAL ( 2021 ),-0.002
445,GB ( 2022 ),-0.002
446,SEA ( 2022 ),-0.002
447,NO ( 2012 ),-0.003
448,WAS ( 2022 ),-0.003
449,MIA ( 2008 ),-0.004
450,DAL ( 2013 ),-0.004
451,NYG ( 2015 ),-0.004
452,ARI ( 2024 ),-0.004
453,PIT ( 2009 ),-0.005
454,KC ( 2010 ),-0.005
455,NYG ( 2016 ),-0.005
456,NYG ( 2022 ),-0.005
457,CLE ( 2022 ),-0.005
458,PHI ( 2023 ),-0.005
459,GB ( 1999 ),-0.006
460,NYG ( 2014 ),-0.006
461,MIA ( 2006 ),-0.007
462,NYG ( 2009 ),-0.007
463,CLE ( 2020 ),-0.007
464,MIA ( 2012 ),-0.008
465,CAR ( 2012 ),-0.008
466,ATL ( 2019 ),-0.008
467,TB ( 2019 ),-0.008
468,LAC ( 2002 ),-0.009
469,CHI ( 2011 ),-0.009
470,LA ( 2013 ),-0.009
471,SEA ( 2006 ),-0.01
472,BUF ( 2008 ),-0.01
473,TEN ( 2011 ),-0.01
474,LAC ( 2016 ),-0.01
475,HOU ( 2016 ),-0.01
476,LV ( 2020 ),-0.01
477,NYJ ( 2022 ),-0.01
478,SEA ( 2002 ),-0.011
479,DET ( 2013 ),-0.011
480,NO ( 2022 ),-0.011
481,LV ( 2022 ),-0.011
482,NYG ( 1999 ),-0.012
483,SF ( 2002 ),-0.012
484,BUF ( 2003 ),-0.012
485,DAL ( 2012 ),-0.012
486,LAC ( 1999 ),-0.013
487,TB ( 2004 ),-0.013
488,HOU ( 2010 ),-0.013
489,SEA ( 2011 ),-0.013
