Rank,Team,ADJ EPA Per Play
454,DAL ( 2007 ),-0.019
455,CLE ( 2010 ),-0.019
456,IND ( 2010 ),-0.019
457,NYG ( 2014 ),-0.019
458,WAS ( 2018 ),-0.019
459,PIT ( 2022 ),-0.019
460,NE ( 2005 ),-0.02
461,NE ( 2006 ),-0.02
462,NO ( 2007 ),-0.02
463,MIA ( 2014 ),-0.02
464,ATL ( 2000 ),-0.021
465,CLE ( 2003 ),-0.021
466,TB ( 2006 ),-0.021
467,GB ( 2019 ),-0.021
468,NYJ ( 1999 ),-0.022
469,DET ( 2005 ),-0.022
470,IND ( 2008 ),-0.022
471,MIA ( 2010 ),-0.022
472,DAL ( 2019 ),-0.022
473,BUF ( 2023 ),-0.022
474,DEN ( 2000 ),-0.023
475,LAC ( 2004 ),-0.023
476,CHI ( 2009 ),-0.023
477,IND ( 2019 ),-0.023
478,CAR ( 2020 ),-0.023
479,CLE ( 2021 ),-0.023
480,DET ( 2023 ),-0.023
481,NYG ( 1999 ),-0.024
482,NYJ ( 2005 ),-0.024
483,PIT ( 2006 ),-0.024
484,KC ( 2014 ),-0.024
485,CAR ( 2018 ),-0.024
486,NE ( 2020 ),-0.024
487,SEA ( 2006 ),-0.025
488,SEA ( 2001 ),-0.026
489,ARI ( 2005 ),-0.026
490,NO ( 2005 ),-0.026
491,ATL ( 2006 ),-0.026
492,PHI ( 2019 ),-0.026
493,NYJ ( 2001 ),-0.027
494,BUF ( 2002 ),-0.027
495,DET ( 2012 ),-0.027
496,PIT ( 2016 ),-0.027
497,DAL ( 2017 ),-0.027
498,GB ( 2000 ),-0.028
499,JAX ( 2001 ),-0.028
500,ATL ( 2003 ),-0.028
501,LV ( 2008 ),-0.028
502,DAL ( 2013 ),-0.028
503,BUF ( 2017 ),-0.028
504,MIN ( 1999 ),-0.029
505,LV ( 1999 ),-0.029
506,CAR ( 2006 ),-0.029
507,CIN ( 2010 ),-0.029
508,SF ( 2014 ),-0.029
509,PIT ( 2021 ),-0.029
510,CAR ( 2022 ),-0.029
511,LV ( 2001 ),-0.03
512,MIN ( 2014 ),-0.03
513,LV ( 2021 ),-0.03
514,LAC ( 2002 ),-0.031
515,LV ( 2007 ),-0.031
516,IND ( 2002 ),-0.032
517,BUF ( 2005 ),-0.032
518,ATL ( 2005 ),-0.032
519,LA ( 2007 ),-0.032
520,NO ( 2017 ),-0.032
521,DET ( 2018 ),-0.032
522,MIA ( 2005 ),-0.033
523,MIA ( 2008 ),-0.033
524,WAS ( 2015 ),-0.033
525,JAX ( 2003 ),-0.034
526,TEN ( 2005 ),-0.034
527,LA ( 2005 ),-0.034
528,HOU ( 2007 ),-0.034
529,DET ( 2007 ),-0.034
530,BUF ( 2011 ),-0.034
531,LV ( 2013 ),-0.034
532,LAC ( 2019 ),-0.034
533,ATL ( 2019 ),-0.034
534,ARI ( 2010 ),-0.035
535,TEN ( 2013 ),-0.035
536,BUF ( 2015 ),-0.035
537,IND ( 2015 ),-0.035
538,WAS ( 2017 ),-0.035
539,DAL ( 2000 ),-0.036
540,HOU ( 2003 ),-0.036
541,MIN ( 2003 ),-0.036
542,IND ( 2004 ),-0.036
543,LAC ( 2009 ),-0.036
544,SEA ( 2009 ),-0.036
545,DAL ( 2010 ),-0.036
546,TB ( 2014 ),-0.036
547,JAX ( 2014 ),-0.036
548,MIA ( 2016 ),-0.036
549,TB ( 2022 ),-0.036
550,NYG ( 2003 ),-0.037
551,ATL ( 2016 ),-0.037
552,TB ( 2010 ),-0.038
553,PHI ( 2015 ),-0.038
554,CIN ( 2016 ),-0.038
555,NYJ ( 2017 ),-0.038
556,LAC ( 2023 ),-0.038
557,NO ( 2001 ),-0.039
558,LV ( 2014 ),-0.039
559,BUF ( 2016 ),-0.039
560,MIN ( 2022 ),-0.039
561,GB ( 2006 ),-0.04
562,PHI ( 2006 ),-0.04
563,LAC ( 2008 ),-0.04
564,BUF ( 2010 ),-0.04
565,CLE ( 2011 ),-0.04
