spread_line,result,normalized_modeled_prob
-16.0,-45,0.0008415
-16.0,-44,0.0038939
-16.0,-43,0.0088414
-16.0,-42,0.0076893
-16.0,-41,0.0100543
-16.0,-40,0.0051173
-16.0,-39,0.0059517
-16.0,-38,0.0121043
-16.0,-37,0.0060959
-16.0,-36,0.0026959
-16.0,-35,0.0078009
-16.0,-34,0.0160942
-16.0,-33,0.0087378
-16.0,-32,0.0102046
-16.0,-31,0.0200503
-16.0,-30,0.0109289
-16.0,-29,0.0128324
-16.0,-28,0.0251473
-16.0,-27,0.0128907
-16.0,-26,0.0059235
-16.0,-25,0.0169149
-16.0,-24,0.0348106
-16.0,-23,0.0184507
-16.0,-22,0.0227140
-16.0,-21,0.0460916
-16.0,-20,0.0222067
-16.0,-19,0.0088831
-16.0,-18,0.0354883
-16.0,-17,0.0786259
-16.0,-16,0.0375053
-16.0,-15,0.0330517
-16.0,-14,0.0673782
-16.0,-13,0.0308978
-16.0,-12,0.0084571
-16.0,-11,0.0206900
-16.0,-10,0.0424148
-16.0,-9,0.0210868
-16.0,-8,0.0173438
-16.0,-7,0.0324942
-16.0,-6,0.0158679
-16.0,-5,0.0056516
-16.0,-4,0.0121793
-16.0,-3,0.0236635
-16.0,-2,0.0116426
-16.0,-1,0.0038381
-16.0,0,0.0007994
-16.0,1,0.0032158
-16.0,2,0.0079864
-16.0,3,0.0155524
-16.0,4,0.0074819
-16.0,5,0.0025282
-16.0,6,0.0058244
-16.0,7,0.0116351
-16.0,8,0.0056705
-16.0,9,0.0048676
-16.0,10,0.0094363
-16.0,11,0.0043018
-16.0,12,0.0011646
-16.0,13,0.0033713
-16.0,14,0.0072345
-16.0,15,0.0033443
-16.0,16,0.0028883
-16.0,17,0.0059990
-16.0,18,0.0025860
-16.0,19,0.0005128
-16.0,20,0.0020639
-16.0,21,0.0047493
-16.0,22,0.0021080
-16.0,23,0.0018399
-16.0,24,0.0040326
-16.0,25,0.0016774
-16.0,26,0.0002531
-16.0,27,0.0013691
-16.0,28,0.0032844
-16.0,29,0.0014292
-16.0,30,0.0012610
-16.0,31,0.0028391
-16.0,32,0.0011629
-16.0,33,0.0000879
-16.0,34,0.0000086
-16.0,35,0.0000059
-16.0,36,0.0000045
-16.0,37,0.0000034
-16.0,38,0.0000025
-16.0,39,0.0000019
-16.0,40,0.0000014
-16.0,41,0.0000010
-16.0,42,0.0000008
-16.0,43,0.0000006
-16.0,44,0.0000004
-16.0,45,0.0000003
-16.0,46,0.0000002
-16.0,47,0.0000002
-16.0,48,0.0000001
-16.0,49,0.0000001
-16.0,50,0.0000001
-16.0,51,0.0000000
-16.0,52,0.0000000
-16.0,53,0.0000000
-16.0,54,0.0000000
-16.0,55,0.0000000
-16.0,56,0.0000000
-16.0,57,0.0000000
-16.0,58,0.0000000
-16.0,59,0.0000000
-16.0,60,0.0000000
-16.0,61,0.0000000
-16.0,62,0.0000000
-16.0,63,0.0000000
-16.0,64,0.0000000
-16.0,65,0.0000000
-16.0,66,0.0000000
-16.0,67,0.0000000
-16.0,68,0.0000000
-16.0,69,0.0000000
-16.0,70,0.0000000
-16.0,71,0.0000000
