Rank,Team,ADJ EPA Per Play
477,PHI ( 2008 ),-0.005
478,DET ( 2012 ),-0.005
479,WAS ( 2014 ),-0.005
480,CAR ( 2014 ),-0.005
481,TB ( 2015 ),-0.005
482,BAL ( 2008 ),-0.006
483,MIA ( 2013 ),-0.006
484,SF ( 2020 ),-0.006
485,LA ( 2024 ),-0.006
486,CHI ( 2001 ),-0.007
487,CIN ( 2009 ),-0.007
488,ATL ( 2020 ),-0.007
489,WAS ( 2021 ),-0.007
490,CHI ( 2023 ),-0.007
491,BAL ( 1999 ),-0.008
492,DEN ( 2001 ),-0.008
493,GB ( 2006 ),-0.008
494,ARI ( 2006 ),-0.008
495,NYJ ( 2011 ),-0.008
496,NYJ ( 2017 ),-0.008
497,HOU ( 2020 ),-0.008
498,MIA ( 2003 ),-0.009
499,MIN ( 2008 ),-0.009
500,CLE ( 2011 ),-0.009
501,SF ( 2006 ),-0.01
502,ATL ( 2006 ),-0.01
503,NYG ( 2010 ),-0.01
504,IND ( 2017 ),-0.01
505,DAL ( 2018 ),-0.01
506,BAL ( 2018 ),-0.01
507,CHI ( 1999 ),-0.011
508,ATL ( 2001 ),-0.011
509,TB ( 2003 ),-0.011
510,HOU ( 2006 ),-0.011
511,CIN ( 2013 ),-0.011
512,HOU ( 2014 ),-0.011
513,WAS ( 2017 ),-0.011
514,IND ( 2019 ),-0.011
515,CLE ( 2021 ),-0.011
516,BUF ( 2004 ),-0.012
517,JAX ( 2005 ),-0.012
518,CHI ( 2022 ),-0.012
519,GB ( 2005 ),-0.013
520,SEA ( 2010 ),-0.013
521,CAR ( 2022 ),-0.013
522,CIN ( 1999 ),-0.014
523,LV ( 2003 ),-0.014
524,DAL ( 2003 ),-0.014
525,IND ( 2012 ),-0.014
526,TB ( 2019 ),-0.014
527,CAR ( 2020 ),-0.014
528,PIT ( 2024 ),-0.014
529,CHI ( 2009 ),-0.015
530,CAR ( 2009 ),-0.015
531,CHI ( 2014 ),-0.015
532,MIA ( 2016 ),-0.015
533,TB ( 2016 ),-0.015
534,LV ( 2018 ),-0.015
535,NE ( 2020 ),-0.015
536,IND ( 2020 ),-0.015
537,ATL ( 2024 ),-0.015
538,TB ( 2012 ),-0.016
539,MIA ( 2011 ),-0.017
540,MIN ( 2013 ),-0.017
541,BUF ( 2017 ),-0.017
542,MIN ( 2024 ),-0.017
543,TEN ( 2010 ),-0.018
544,SEA ( 2011 ),-0.018
545,CIN ( 2012 ),-0.018
546,ARI ( 2013 ),-0.018
547,PIT ( 2023 ),-0.018
548,MIN ( 2011 ),-0.019
549,SF ( 2018 ),-0.019
550,ARI ( 2014 ),-0.02
551,BUF ( 2014 ),-0.02
552,MIA ( 2015 ),-0.02
553,BAL ( 2016 ),-0.02
554,MIN ( 2020 ),-0.02
555,TB ( 2022 ),-0.02
556,MIA ( 1999 ),-0.021
557,MIN ( 2001 ),-0.021
558,BUF ( 2005 ),-0.021
559,JAX ( 2016 ),-0.021
560,CIN ( 2017 ),-0.021
561,CIN ( 2019 ),-0.021
562,CLE ( 1999 ),-0.022
563,NYJ ( 2009 ),-0.023
564,DEN ( 2015 ),-0.023
565,CLE ( 2003 ),-0.024
566,NYG ( 2004 ),-0.024
567,TEN ( 2007 ),-0.024
568,SEA ( 2008 ),-0.024
569,WAS ( 2008 ),-0.024
570,SF ( 2009 ),-0.024
571,BUF ( 2012 ),-0.025
572,JAX ( 2015 ),-0.025
573,ATL ( 2023 ),-0.025
574,HOU ( 2003 ),-0.026
575,DET ( 2013 ),-0.026
576,DET ( 2014 ),-0.026
577,CLE ( 2015 ),-0.026
578,ARI ( 2016 ),-0.026
579,TEN ( 2022 ),-0.026
580,WAS ( 2023 ),-0.026
581,TEN ( 2004 ),-0.027
582,DEN ( 2009 ),-0.027
583,DAL ( 2015 ),-0.027
584,MIN ( 2016 ),-0.027
585,NO ( 2022 ),-0.027
586,LV ( 2023 ),-0.027
587,NYG ( 2016 ),-0.028
588,WAS ( 2022 ),-0.028
589,NYJ ( 2024 ),-0.028
590,CLE ( 2001 ),-0.029
591,NO ( 2001 ),-0.029
592,MIA ( 2006 ),-0.029
593,DET ( 2001 ),-0.03
594,BAL ( 2003 ),-0.03
595,ARI ( 2005 ),-0.03
596,IND ( 2015 ),-0.03
597,CHI ( 2017 ),-0.03
598,JAX ( 2019 ),-0.03
599,SEA ( 2024 ),-0.03
600,ARI ( 2007 ),-0.031
601,SF ( 2008 ),-0.031
602,PIT ( 2008 ),-0.031
603,DEN ( 2019 ),-0.031
604,NO ( 1999 ),-0.032
605,NYJ ( 2007 ),-0.032
606,WAS ( 2009 ),-0.032
607,NYJ ( 2021 ),-0.032
608,CLE ( 2010 ),-0.033
609,ATL ( 2004 ),-0.034
610,HOU ( 2005 ),-0.034
611,NYJ ( 2014 ),-0.034
612,CAR ( 2016 ),-0.034
613,CAR ( 2007 ),-0.035
614,MIA ( 2019 ),-0.035
615,MIA ( 2020 ),-0.035
616,ATL ( 2021 ),-0.035
617,NO ( 2004 ),-0.036
618,TB ( 2005 ),-0.037
619,CLE ( 2014 ),-0.037
620,ARI ( 2000 ),-0.038
621,BUF ( 2008 ),-0.038
622,DEN ( 2016 ),-0.038
623,PIT ( 2003 ),-0.039
624,CHI ( 2007 ),-0.039
625,LV ( 2012 ),-0.039
626,DEN ( 2018 ),-0.039
627,CAR ( 2000 ),-0.04
628,MIA ( 2017 ),-0.04
629,NYG ( 2019 ),-0.04
630,PIT ( 2020 ),-0.04
631,MIA ( 2021 ),-0.04
632,LA ( 2022 ),-0.041
633,BUF ( 2000 ),-0.042
634,CHI ( 2010 ),-0.042
635,ARI ( 2011 ),-0.042
636,LA ( 2013 ),-0.042
637,NE ( 2022 ),-0.042
638,CIN ( 2002 ),-0.043
639,CHI ( 2008 ),-0.043
640,ATL ( 1999 ),-0.044
641,DET ( 2021 ),-0.044
642,BAL ( 2001 ),-0.045
643,CHI ( 2003 ),-0.045
644,LA ( 2005 ),-0.045
645,NYJ ( 2005 ),-0.045
646,SF ( 2010 ),-0.045
647,WAS ( 2011 ),-0.045
648,CHI ( 2012 ),-0.045
649,WAS ( 2002 ),-0.046
650,HOU ( 2015 ),-0.046
651,CLE ( 2016 ),-0.046
652,CLE ( 2023 ),-0.046
653,HOU ( 2024 ),-0.046
654,MIA ( 2024 ),-0.046
655,MIA ( 2010 ),-0.047
656,DAL ( 2020 ),-0.047
657,MIN ( 2005 ),-0.048
658,CLE ( 2018 ),-0.048
659,BUF ( 2003 ),-0.049
660,TEN ( 2015 ),-0.049
661,CAR ( 2019 ),-0.049
662,MIA ( 2012 ),-0.05
663,CHI ( 2019 ),-0.05
664,ARI ( 2022 ),-0.05
665,BUF ( 2001 ),-0.051
666,ARI ( 2002 ),-0.051
667,HOU ( 2004 ),-0.051
668,WAS ( 2018 ),-0.051
669,WAS ( 2001 ),-0.052
670,CHI ( 2002 ),-0.052
671,BAL ( 2013 ),-0.052
672,TB ( 1999 ),-0.053
673,LV ( 2007 ),-0.053
674,TB ( 2008 ),-0.053
675,BAL ( 2002 ),-0.054
676,CLE ( 2004 ),-0.054
677,ARI ( 1999 ),-0.055
678,CIN ( 2020 ),-0.055
679,PIT ( 2021 ),-0.055
680,MIA ( 2000 ),-0.056
681,CLE ( 2006 ),-0.056
682,DET ( 2020 ),-0.056
683,DEN ( 2022 ),-0.056
684,DET ( 2005 ),-0.057
685,BUF ( 2010 ),-0.057
686,TB ( 2011 ),-0.057
687,TB ( 2013 ),-0.057
688,LA ( 2014 ),-0.058
689,CLE ( 2017 ),-0.058
690,ARI ( 2017 ),-0.058
691,MIA ( 2018 ),-0.058
692,BAL ( 2007 ),-0.059
693,MIN ( 2018 ),-0.059
694,CLE ( 2000 ),-0.06
695,BUF ( 2007 ),-0.06
696,SEA ( 2009 ),-0.06
697,LA ( 2010 ),-0.06
698,DEN ( 2011 ),-0.06
699,TEN ( 2014 ),-0.06
700,NO ( 2021 ),-0.06
701,JAX ( 2004 ),-0.062
702,CHI ( 2016 ),-0.063
703,TEN ( 2005 ),-0.064
704,CLE ( 2005 ),-0.064
705,KC ( 2008 ),-0.064
706,SF ( 2015 ),-0.064
707,NYJ ( 2022 ),-0.064
708,IND ( 2024 ),-0.064
709,NYG ( 2003 ),-0.065
710,NYG ( 2020 ),-0.065
711,CHI ( 2024 ),-0.065
712,CIN ( 2001 ),-0.066
713,KC ( 2009 ),-0.066
