Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTm,VisTm
4,Sun,2012-09-30,4:05PM,Denver Broncos,,Oakland Raiders,boxscore,37,6,503,1,237,0,Denver Broncos,Oakland Raiders
4,Sun,2012-09-30,4:25PM,Green Bay Packers,,New Orleans Saints,boxscore,28,27,421,2,474,0,Green Bay Packers,New Orleans Saints
4,Sun,2012-09-30,4:25PM,Washington Redskins,@,Tampa Bay Buccaneers,boxscore,24,22,474,0,373,1,Tampa Bay Buccaneers,Washington Redskins
4,Sun,2012-09-30,8:30PM,Philadelphia Eagles,,New York Giants,boxscore,19,17,422,0,366,1,Philadelphia Eagles,New York Giants
4,Mon,2012-10-01,8:40PM,Chicago Bears,@,Dallas Cowboys,boxscore,34,18,360,1,430,5,Dallas Cowboys,Chicago Bears
5,Thu,2012-10-04,8:20PM,St. Louis Rams,,Arizona Cardinals,boxscore,17,3,242,1,282,1,St. Louis Rams,Arizona Cardinals
5,Sun,2012-10-07,1:02PM,New York Giants,,Cleveland Browns,boxscore,41,27,502,2,375,3,New York Giants,Cleveland Browns
5,Sun,2012-10-07,1:02PM,Baltimore Ravens,@,Kansas City Chiefs,boxscore,9,6,298,2,338,4,Kansas City Chiefs,Baltimore Ravens
5,Sun,2012-10-07,1:02PM,Pittsburgh Steelers,,Philadelphia Eagles,boxscore,16,14,343,0,246,2,Pittsburgh Steelers,Philadelphia Eagles
5,Sun,2012-10-07,1:03PM,Indianapolis Colts,,Green Bay Packers,boxscore,30,27,464,1,356,1,Indianapolis Colts,Green Bay Packers
5,Sun,2012-10-07,1:03PM,Miami Dolphins,@,Cincinnati Bengals,boxscore,17,13,279,2,298,3,Cincinnati Bengals,Miami Dolphins
5,Sun,2012-10-07,1:04PM,Atlanta Falcons,@,Washington Redskins,boxscore,24,17,421,2,316,2,Washington Redskins,Atlanta Falcons
5,Sun,2012-10-07,4:04PM,Seattle Seahawks,@,Carolina Panthers,boxscore,16,12,310,3,190,2,Carolina Panthers,Seattle Seahawks
5,Sun,2012-10-07,4:05PM,Chicago Bears,@,Jacksonville Jaguars,boxscore,41,3,501,1,189,3,Jacksonville Jaguars,Chicago Bears
5,Sun,2012-10-07,4:15PM,Minnesota Vikings,,Tennessee Titans,boxscore,30,7,433,2,267,2,Minnesota Vikings,Tennessee Titans
5,Sun,2012-10-07,4:25PM,San Francisco 49ers,,Buffalo Bills,boxscore,45,3,621,1,204,2,San Francisco 49ers,Buffalo Bills
5,Sun,2012-10-07,4:25PM,New England Patriots,,Denver Broncos,boxscore,31,21,444,1,394,3,New England Patriots,Denver Broncos
5,Sun,2012-10-07,8:31PM,New Orleans Saints,,San Diego Chargers,boxscore,31,24,404,1,427,2,New Orleans Saints,San Diego Chargers
5,Mon,2012-10-08,8:40PM,Houston Texans,@,New York Jets,boxscore,23,17,378,1,286,2,New York Jets,Houston Texans
6,Thu,2012-10-11,8:29PM,Tennessee Titans,,Pittsburgh Steelers,boxscore,26,23,359,1,412,1,Tennessee Titans,Pittsburgh Steelers
6,Sun,2012-10-14,1:00PM,Tampa Bay Buccaneers,,Kansas City Chiefs,boxscore,38,10,463,2,260,2,Tampa Bay Buccaneers,Kansas City Chiefs
6,Sun,2012-10-14,1:00PM,Miami Dolphins,,St. Louis Rams,boxscore,17,14,192,0,462,1,Miami Dolphins,St. Louis Rams
6,Sun,2012-10-14,1:01PM,Atlanta Falcons,,Oakland Raiders,boxscore,23,20,286,3,474,3,Atlanta Falcons,Oakland Raiders
6,Sun,2012-10-14,1:02PM,New York Jets,,Indianapolis Colts,boxscore,35,9,351,0,298,4,New York Jets,Indianapolis Colts
6,Sun,2012-10-14,1:02PM,Baltimore Ravens,,Dallas Cowboys,boxscore,31,29,316,0,481,1,Baltimore Ravens,Dallas Cowboys
6,Sun,2012-10-14,1:02PM,Cleveland Browns,,Cincinnati Bengals,boxscore,34,24,328,1,438,4,Cleveland Browns,Cincinnati Bengals
6,Sun,2012-10-14,1:03PM,Detroit Lions,@,Philadelphia Eagles,boxscore,26,23,449,1,357,3,Philadelphia Eagles,Detroit Lions
6,Sun,2012-10-14,4:04PM,Seattle Seahawks,,New England Patriots,boxscore,24,23,368,2,475,2,Seattle Seahawks,New England Patriots
6,Sun,2012-10-14,4:05PM,Buffalo Bills,@,Arizona Cardinals,boxscore,19,16,306,2,332,2,Arizona Cardinals,Buffalo Bills
6,Sun,2012-10-14,4:23PM,New York Giants,@,San Francisco 49ers,boxscore,26,3,342,0,314,3,San Francisco 49ers,New York Giants
6,Sun,2012-10-14,4:24PM,Washington Redskins,,Minnesota Vikings,boxscore,38,26,361,1,421,3,Washington Redskins,Minnesota Vikings
6,Sun,2012-10-14,8:30PM,Green Bay Packers,@,Houston Texans,boxscore,42,24,427,0,321,3,Houston Texans,Green Bay Packers
6,Mon,2012-10-15,8:40PM,Denver Broncos,@,San Diego Chargers,boxscore,35,24,365,3,307,6,San Diego Chargers,Denver Broncos
7,Thu,2012-10-18,8:29PM,San Francisco 49ers,,Seattle Seahawks,boxscore,13,6,313,1,251,1,San Francisco 49ers,Seattle Seahawks
7,Sun,2012-10-21,1:00PM,Green Bay Packers,@,St. Louis Rams,boxscore,30,20,402,0,354,1,St. Louis Rams,Green Bay Packers
7,Sun,2012-10-21,1:02PM,New Orleans Saints,@,Tampa Bay Buccaneers,boxscore,35,28,458,1,513,0,Tampa Bay Buccaneers,New Orleans Saints
7,Sun,2012-10-21,1:02PM,Tennessee Titans,@,Buffalo Bills,boxscore,35,34,390,0,382,2,Buffalo Bills,Tennessee Titans
7,Sun,2012-10-21,1:02PM,Indianapolis Colts,,Cleveland Browns,boxscore,17,13,321,1,319,0,Indianapolis Colts,Cleveland Browns
7,Sun,2012-10-21,1:02PM,Houston Texans,,Baltimore Ravens,boxscore,43,13,420,0,176,2,Houston Texans,Baltimore Ravens
7,Sun,2012-10-21,1:03PM,Dallas Cowboys,@,Carolina Panthers,boxscore,19,14,312,1,328,2,Carolina Panthers,Dallas Cowboys
7,Sun,2012-10-21,1:03PM,New York Giants,,Washington Redskins,boxscore,27,23,393,2,480,4,New York Giants,Washington Redskins
7,Sun,2012-10-21,1:05PM,Minnesota Vikings,,Arizona Cardinals,boxscore,21,14,209,2,356,2,Minnesota Vikings,Arizona Cardinals
7,Sun,2012-10-21,4:25PM,Oakland Raiders,,Jacksonville Jaguars,boxscore,26,23,351,3,209,1,Oakland Raiders,Jacksonville Jaguars
7,Sun,2012-10-21,4:25PM,New England Patriots,,New York Jets,boxscore,29,26,381,1,403,2,New England Patriots,New York Jets
7,Sun,2012-10-21,8:30PM,Pittsburgh Steelers,@,Cincinnati Bengals,boxscore,24,17,431,2,185,1,Cincinnati Bengals,Pittsburgh Steelers
7,Mon,2012-10-22,8:40PM,Chicago Bears,,Detroit Lions,boxscore,13,7,296,0,340,4,Chicago Bears,Detroit Lions
8,Thu,2012-10-25,8:29PM,Tampa Bay Buccaneers,@,Minnesota Vikings,boxscore,36,17,416,0,369,3,Minnesota Vikings,Tampa Bay Buccaneers
8,Sun,2012-10-28,1:02PM,Pittsburgh Steelers,,Washington Redskins,boxscore,27,12,355,0,255,0,Pittsburgh Steelers,Washington Redskins
8,Sun,2012-10-28,1:03PM,Atlanta Falcons,@,Philadelphia Eagles,boxscore,30,17,392,0,270,0,Philadelphia Eagles,Atlanta Falcons
8,Sun,2012-10-28,1:03PM,Chicago Bears,,Carolina Panthers,boxscore,23,22,210,3,416,2,Chicago Bears,Carolina Panthers
8,Sun,2012-10-28,1:03PM,Detroit Lions,,Seattle Seahawks,boxscore,28,24,415,1,369,2,Detroit Lions,Seattle Seahawks
8,Sun,2012-10-28,1:05PM,Green Bay Packers,,Jacksonville Jaguars,boxscore,24,15,238,1,341,1,Green Bay Packers,Jacksonville Jaguars
8,Sun,2012-10-28,1:06PM,Indianapolis Colts,@,Tennessee Titans,boxscore,19,13,457,1,339,0,Tennessee Titans,Indianapolis Colts
8,Sun,2012-10-28,1:06PM,Miami Dolphins,@,New York Jets,boxscore,30,9,236,1,363,2,New York Jets,Miami Dolphins
8,Sun,2012-10-28,1:06PM,Cleveland Browns,,San Diego Chargers,boxscore,7,6,250,0,265,1,Cleveland Browns,San Diego Chargers
8,Sun,2012-10-28,1:06PM,New England Patriots,@,St. Louis Rams,boxscore,45,7,473,0,326,2,St. Louis Rams,New England Patriots
8,Sun,2012-10-28,4:06PM,Oakland Raiders,@,Kansas City Chiefs,boxscore,26,16,344,1,299,4,Kansas City Chiefs,Oakland Raiders
8,Sun,2012-10-28,4:25PM,New York Giants,@,Dallas Cowboys,boxscore,29,24,293,2,434,6,Dallas Cowboys,New York Giants
8,Sun,2012-10-28,8:30PM,Denver Broncos,,New Orleans Saints,boxscore,34,14,530,1,252,1,Denver Broncos,New Orleans Saints
8,Mon,2012-10-29,8:40PM,San Francisco 49ers,@,Arizona Cardinals,boxscore,24,3,317,0,265,1,Arizona Cardinals,San Francisco 49ers
9,Thu,2012-11-01,8:27PM,San Diego Chargers,,Kansas City Chiefs,boxscore,31,13,339,2,289,4,San Diego Chargers,Kansas City Chiefs
9,Sun,2012-11-04,1:02PM,Houston Texans,,Buffalo Bills,boxscore,21,9,374,0,304,1,Houston Texans,Buffalo Bills
9,Sun,2012-11-04,1:02PM,Denver Broncos,@,Cincinnati Bengals,boxscore,31,23,359,2,366,1,Cincinnati Bengals,Denver Broncos
9,Sun,2012-11-04,1:02PM,Indianapolis Colts,,Miami Dolphins,boxscore,23,20,516,0,365,0,Indianapolis Colts,Miami Dolphins
9,Sun,2012-11-04,1:02PM,Green Bay Packers,,Arizona Cardinals,boxscore,31,17,384,1,340,2,Green Bay Packers,Arizona Cardinals
9,Sun,2012-11-04,1:03PM,Baltimore Ravens,@,Cleveland Browns,boxscore,25,15,282,0,290,2,Cleveland Browns,Baltimore Ravens
9,Sun,2012-11-04,1:04PM,Chicago Bears,@,Tennessee Titans,boxscore,51,20,365,1,339,5,Tennessee Titans,Chicago Bears
9,Sun,2012-11-04,1:04PM,Detroit Lions,@,Jacksonville Jaguars,boxscore,31,14,434,0,279,2,Jacksonville Jaguars,Detroit Lions
9,Sun,2012-11-04,1:05PM,Carolina Panthers,@,Washington Redskins,boxscore,21,13,330,0,337,0,Washington Redskins,Carolina Panthers
9,Sun,2012-11-04,4:05PM,Tampa Bay Buccaneers,@,Oakland Raiders,boxscore,42,32,515,1,424,3,Oakland Raiders,Tampa Bay Buccaneers
9,Sun,2012-11-04,4:06PM,Seattle Seahawks,,Minnesota Vikings,boxscore,30,20,385,0,287,2,Seattle Seahawks,Minnesota Vikings
9,Sun,2012-11-04,4:26PM,Pittsburgh Steelers,@,New York Giants,boxscore,24,20,349,2,182,1,New York Giants,Pittsburgh Steelers
9,Sun,2012-11-04,8:31PM,Atlanta Falcons,,Dallas Cowboys,boxscore,19,13,453,0,377,0,Atlanta Falcons,Dallas Cowboys
9,Mon,2012-11-05,8:40PM,New Orleans Saints,,Philadelphia Eagles,boxscore,28,13,371,2,447,2,New Orleans Saints,Philadelphia Eagles
10,Thu,2012-11-08,8:30PM,Indianapolis Colts,@,Jacksonville Jaguars,boxscore,27,10,359,2,337,3,Jacksonville Jaguars,Indianapolis Colts
10,Sun,2012-11-11,1:02PM,New Orleans Saints,,Atlanta Falcons,boxscore,31,27,440,1,454,1,New Orleans Saints,Atlanta Falcons
10,Sun,2012-11-11,1:02PM,New England Patriots,,Buffalo Bills,boxscore,37,31,347,0,481,3,New England Patriots,Buffalo Bills
10,Sun,2012-11-11,1:02PM,Denver Broncos,@,Carolina Panthers,boxscore,36,14,360,2,250,2,Carolina Panthers,Denver Broncos
10,Sun,2012-11-11,1:02PM,Baltimore Ravens,,Oakland Raiders,boxscore,55,20,419,1,422,3,Baltimore Ravens,Oakland Raiders
10,Sun,2012-11-11,1:03PM,Cincinnati Bengals,,New York Giants,boxscore,31,13,275,1,318,4,Cincinnati Bengals,New York Giants
10,Sun,2012-11-11,1:03PM,Tennessee Titans,@,Miami Dolphins,boxscore,37,3,293,0,255,4,Miami Dolphins,Tennessee Titans
10,Sun,2012-11-11,1:03PM,Tampa Bay Buccaneers,,San Diego Chargers,boxscore,34,24,279,0,426,2,Tampa Bay Buccaneers,San Diego Chargers
10,Sun,2012-11-11,1:05PM,Minnesota Vikings,,Detroit Lions,boxscore,34,24,403,0,368,2,Minnesota Vikings,Detroit Lions
10,Sun,2012-11-11,4:06PM,Seattle Seahawks,,New York Jets,boxscore,28,7,363,2,185,3,Seattle Seahawks,New York Jets
10,Sun,2012-11-11,4:25PM,Dallas Cowboys,@,Philadelphia Eagles,boxscore,38,23,294,0,369,2,Philadelphia Eagles,Dallas Cowboys
10,Sun,2012-11-11,4:25PM,San Francisco 49ers,,St. Louis Rams,boxscore,24,24,341,0,458,1,San Francisco 49ers,St. Louis Rams
10,Sun,2012-11-11,8:31PM,Houston Texans,@,Chicago Bears,boxscore,13,6,215,2,249,4,Chicago Bears,Houston Texans
10,Mon,2012-11-12,8:40PM,Pittsburgh Steelers,,Kansas City Chiefs,boxscore,16,13,249,1,290,1,Pittsburgh Steelers,Kansas City Chiefs
11,Thu,2012-11-15,8:29PM,Buffalo Bills,,Miami Dolphins,boxscore,19,14,281,0,184,3,Buffalo Bills,Miami Dolphins
11,Sun,2012-11-18,1:00PM,New York Jets,@,St. Louis Rams,boxscore,27,13,289,0,281,3,St. Louis Rams,New York Jets
11,Sun,2012-11-18,1:02PM,Green Bay Packers,@,Detroit Lions,boxscore,24,20,314,1,362,4,Detroit Lions,Green Bay Packers
11,Sun,2012-11-18,1:03PM,Atlanta Falcons,,Arizona Cardinals,boxscore,23,19,354,6,178,1,Atlanta Falcons,Arizona Cardinals
11,Sun,2012-11-18,1:03PM,Cincinnati Bengals,@,Kansas City Chiefs,boxscore,28,6,409,0,284,1,Kansas City Chiefs,Cincinnati Bengals
11,Sun,2012-11-18,1:03PM,Houston Texans,,Jacksonville Jaguars,boxscore,43,37,653,3,458,1,Houston Texans,Jacksonville Jaguars
11,Sun,2012-11-18,1:03PM,Washington Redskins,,Philadelphia Eagles,boxscore,31,6,361,0,257,3,Washington Redskins,Philadelphia Eagles
11,Sun,2012-11-18,1:04PM,Tampa Bay Buccaneers,@,Carolina Panthers,boxscore,27,21,403,3,331,1,Carolina Panthers,Tampa Bay Buccaneers
11,Sun,2012-11-18,1:04PM,Dallas Cowboys,,Cleveland Browns,boxscore,23,20,320,1,311,1,Dallas Cowboys,Cleveland Browns
11,Sun,2012-11-18,4:05PM,New Orleans Saints,@,Oakland Raiders,boxscore,38,17,380,0,404,2,Oakland Raiders,New Orleans Saints
11,Sun,2012-11-18,4:25PM,New England Patriots,,Indianapolis Colts,boxscore,59,24,446,0,448,4,New England Patriots,Indianapolis Colts
11,Sun,2012-11-18,4:25PM,Denver Broncos,,San Diego Chargers,boxscore,30,23,386,2,277,3,Denver Broncos,San Diego Chargers
11,Sun,2012-11-18,8:30PM,Baltimore Ravens,@,Pittsburgh Steelers,boxscore,13,10,200,0,309,3,Pittsburgh Steelers,Baltimore Ravens
11,Mon,2012-11-19,8:40PM,San Francisco 49ers,,Chicago Bears,boxscore,32,7,353,0,143,2,San Francisco 49ers,Chicago Bears
12,Thu,2012-11-22,12:39PM,Houston Texans,@,Detroit Lions,boxscore,34,31,501,1,525,1,Detroit Lions,Houston Texans
12,Thu,2012-11-22,4:41PM,Washington Redskins,@,Dallas Cowboys,boxscore,38,31,437,1,458,3,Dallas Cowboys,Washington Redskins
12,Thu,2012-11-22,8:31PM,New England Patriots,@,New York Jets,boxscore,49,19,475,1,405,5,New York Jets,New England Patriots
12,Sun,2012-11-25,1:00PM,Chicago Bears,,Minnesota Vikings,boxscore,28,10,296,2,258,3,Chicago Bears,Minnesota Vikings
12,Sun,2012-11-25,1:02PM,Atlanta Falcons,@,Tampa Bay Buccaneers,boxscore,24,23,424,2,326,0,Tampa Bay Buccaneers,Atlanta Falcons
12,Sun,2012-11-25,1:02PM,Cincinnati Bengals,,Oakland Raiders,boxscore,34,10,415,0,218,2,Cincinnati Bengals,Oakland Raiders
12,Sun,2012-11-25,1:02PM,Cleveland Browns,,Pittsburgh Steelers,boxscore,20,14,238,1,242,8,Cleveland Browns,Pittsburgh Steelers
12,Sun,2012-11-25,1:03PM,Indianapolis Colts,,Buffalo Bills,boxscore,20,13,312,2,304,1,Indianapolis Colts,Buffalo Bills
12,Sun,2012-11-25,1:03PM,Denver Broncos,@,Kansas City Chiefs,boxscore,17,9,368,1,264,1,Kansas City Chiefs,Denver Broncos
12,Sun,2012-11-25,1:03PM,Jacksonville Jaguars,,Tennessee Titans,boxscore,24,19,321,1,360,2,Jacksonville Jaguars,Tennessee Titans
12,Sun,2012-11-25,1:03PM,Miami Dolphins,,Seattle Seahawks,boxscore,24,21,435,1,312,0,Miami Dolphins,Seattle Seahawks
12,Sun,2012-11-25,4:05PM,Baltimore Ravens,@,San Diego Chargers,boxscore,16,13,443,0,280,0,San Diego Chargers,Baltimore Ravens
12,Sun,2012-11-25,4:25PM,St. Louis Rams,@,Arizona Cardinals,boxscore,31,17,367,1,375,4,Arizona Cardinals,St. Louis Rams
12,Sun,2012-11-25,4:25PM,San Francisco 49ers,@,New Orleans Saints,boxscore,31,21,375,2,290,2,New Orleans Saints,San Francisco 49ers
12,Sun,2012-11-25,8:30PM,New York Giants,,Green Bay Packers,boxscore,38,10,390,0,317,2,New York Giants,Green Bay Packers
12,Mon,2012-11-26,8:32PM,Carolina Panthers,@,Philadelphia Eagles,boxscore,30,22,398,0,311,3,Philadelphia Eagles,Carolina Panthers
13,Thu,2012-11-29,8:29PM,Atlanta Falcons,,New Orleans Saints,boxscore,23,13,283,1,436,5,Atlanta Falcons,New Orleans Saints
13,Sun,2012-12-02,1:00PM,St. Louis Rams,,San Francisco 49ers,boxscore,16,13,293,0,339,1,St. Louis Rams,San Francisco 49ers
13,Sun,2012-12-02,1:02PM,Buffalo Bills,,Jacksonville Jaguars,boxscore,34,18,344,2,236,2,Buffalo Bills,Jacksonville Jaguars
13,Sun,2012-12-02,1:02PM,Green Bay Packers,,Minnesota Vikings,boxscore,23,14,435,1,359,2,Green Bay Packers,Minnesota Vikings
13,Sun,2012-12-02,1:02PM,Houston Texans,@,Tennessee Titans,boxscore,24,10,331,0,354,6,Tennessee Titans,Houston Texans
13,Sun,2012-12-02,1:02PM,New England Patriots,@,Miami Dolphins,boxscore,23,16,321,1,277,1,Miami Dolphins,New England Patriots
13,Sun,2012-12-02,1:03PM,Kansas City Chiefs,,Carolina Panthers,boxscore,27,21,355,0,385,0,Kansas City Chiefs,Carolina Panthers
13,Sun,2012-12-02,1:03PM,Seattle Seahawks,@,Chicago Bears,boxscore,23,17,459,1,365,0,Chicago Bears,Seattle Seahawks
13,Sun,2012-12-02,1:03PM,Indianapolis Colts,@,Detroit Lions,boxscore,35,33,459,3,451,1,Detroit Lions,Indianapolis Colts
